% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.408	1	1	41	9	1	28	9422	0	0
0.409	1	2	41	10	2	28	9422	0	0
0.411	1	1	42	2	1	28	9422	0	0
0.412	1	2	42	3	2	28	9422	0	0
0.413	1	1	42	4	1	28	9422	0	0
0.414	1	2	42	5	2	28	9422	0	0
0.415	1	1	42	6	1	28	9422	0	0
0.416	1	2	42	7	2	28	9422	0	0
0.417	1	1	42	8	1	28	9422	0	0
0.418	1	2	42	9	2	28	9422	0	0
0.42	1	1	43	1	1	28	9422	0	0
0.421	1	2	43	2	2	28	9422	0	0
0.422	1	1	43	3	1	28	9422	0	0
0.423	1	2	43	4	2	28	9422	0	0
0.424	1	1	43	5	1	28	9422	0	0
0.425	1	2	43	6	2	28	9422	0	0
0.426	1	1	43	7	1	28	9422	0	0
0.427	1	2	43	8	2	28	9422	0	0
0.429	1	1	43	10	1	28	9422	0	0
0.43	1	2	44	1	2	28	9422	0	0
0.431	1	1	44	2	1	28	9422	0	0
0.432	1	2	44	3	2	28	9422	0	0
0.433	1	1	44	4	1	28	9422	0	0
0.434	1	2	44	5	2	28	9422	0	0
0.435	1	1	44	6	1	28	9422	0	0
0.436	1	2	44	7	2	28	9422	0	0
0.438	1	1	44	9	1	28	9422	0	0
0.439	1	2	44	10	2	28	9422	0	0
0.44	1	1	45	1	1	28	9422	0	0
0.441	1	2	45	2	2	28	9422	0	0
0.442	1	1	45	3	1	28	9422	0	0
0.443	1	2	45	4	2	28	9422	0	0
0.444	1	1	45	5	1	28	9422	0	0
0.445	1	2	45	6	2	28	9422	0	0
0.447	1	1	45	8	1	28	9422	0	0
0.448	1	2	45	9	2	28	9422	0	0
0.449	1	1	45	10	1	28	9422	0	0
0.45	1	2	46	1	2	28	9422	0	0
0.451	1	1	46	2	1	28	9422	0	0
0.452	1	2	46	3	2	28	9422	0	0
0.453	1	1	46	4	1	28	9422	0	0
0.454	1	2	46	5	2	28	9422	0	0
0.455	1	1	46	6	1	28	9422	0	0
0.456	1	2	46	7	2	28	9422	0	0
0.458	1	1	46	9	1	28	9422	0	0
0.459	1	2	46	10	2	28	9422	0	0
0.46	1	1	47	1	1	28	9422	0	0
0.461	1	2	47	2	2	28	9422	0	0
0.462	1	1	47	3	1	28	9422	0	0
0.463	1	2	47	4	2	28	9422	0	0
0.464	1	1	47	5	1	28	9422	0	0
0.465	1	2	47	6	2	28	9422	0	0
0.467	1	1	47	8	1	28	9422	0	0
0.468	1	2	47	9	2	28	9422	0	0
0.469	1	1	47	10	1	28	9422	0	0
0.47	1	2	48	1	2	28	9422	0	0
0.471	1	1	48	2	1	28	9422	0	0
0.472	1	2	48	3	2	28	9422	0	0
0.473	1	1	48	4	1	28	9422	0	0
0.474	1	2	48	5	2	28	9422	0	0
0.476	1	1	48	7	1	28	9422	0	0
0.477	1	2	48	8	2	28	9422	0	0
0.478	1	1	48	9	1	28	9422	0	0
0.479	1	2	48	10	2	28	9422	0	0
0.48	1	1	49	1	1	28	9422	0	0
0.481	1	2	49	2	2	28	9422	0	0
0.482	1	1	49	3	1	28	9422	0	0
0.483	1	2	49	4	2	28	9422	0	0
0.485	1	1	49	6	1	28	9422	0	0
0.486	1	2	49	7	2	28	9422	0	0
0.487	1	1	49	8	1	28	9422	0	0
0.488	1	2	49	9	2	28	9422	0	0
0.489	1	1	49	10	1	28	9422	0	0
0.49	1	2	50	1	2	28	9422	0	0
0.491	1	1	50	2	1	28	9422	0	0
0.492	1	2	50	3	2	28	9422	0	0
0.494	1	1	50	5	1	28	9422	0	0
0.495	1	2	50	6	2	28	9422	0	0
0.496	1	1	50	7	1	28	9422	0	0
0.497	1	2	50	8	2	28	9422	0	0
0.498	1	1	50	9	1	28	9422	0	0
0.499	1	2	50	10	2	28	9422	0	0
0.5	1	1	51	1	1	28	9422	0	0
0.501	1	2	51	2	2	28	9422	0	0
0.503	1	1	51	4	1	28	9422	0	0
0.504	1	2	51	5	2	28	9422	0	0
0.505	1	1	51	6	1	28	9422	0	0
0.506	1	2	51	7	2	28	9422	0	0
0.507	1	1	51	8	1	28	9422	0	0
0.508	1	2	51	9	2	28	9422	0	0
0.509	1	1	51	10	1	28	9422	0	0
0.51	1	2	52	1	2	28	9422	0	0
0.511	1	1	52	2	1	28	9422	0	0
0.512	1	2	52	3	2	28	9422	0	0
0.514	1	1	52	5	1	28	9422	0	0
0.515	1	2	52	6	2	28	9422	0	0
0.516	1	1	52	7	1	28	9422	0	0
0.517	1	2	52	8	2	28	9422	0	0
0.518	1	1	52	9	1	28	9422	0	0
0.519	1	2	52	10	2	28	9422	0	0
0.52	1	1	53	1	1	28	9422	0	0
0.521	1	2	53	2	2	28	9422	0	0
0.523	1	1	53	4	1	28	9422	0	0
0.524	1	2	53	5	2	28	9422	0	0
0.525	1	1	53	6	1	28	9422	0	0
0.526	1	2	53	7	2	28	9422	0	0
0.527	1	1	53	8	1	28	9422	0	0
0.528	1	2	53	9	2	28	9422	0	0
0.529	1	1	53	10	1	28	9422	0	0
0.53	1	2	54	1	2	28	9422	0	0
0.532	1	1	54	3	1	28	9422	0	0
0.533	1	2	54	4	2	28	9422	0	0
0.534	1	1	54	5	1	28	9422	0	0
0.535	1	2	54	6	2	28	9422	0	0
0.536	1	1	54	7	1	28	9422	0	0
0.537	1	2	54	8	2	28	9422	0	0
0.538	1	1	54	9	1	28	9422	0	0
0.539	1	2	54	10	2	28	9422	0	0
0.541	1	1	55	2	1	28	9422	0	0
0.542	1	2	55	3	2	28	9422	0	0
0.543	1	1	55	4	1	28	9422	0	0
0.544	1	2	55	5	2	28	9422	0	0
0.545	1	1	55	6	1	28	9422	0	0
0.546	1	2	55	7	2	28	9422	0	0
0.547	1	1	55	8	1	28	9422	0	0
0.548	1	2	55	9	2	28	9422	0	0
0.55	1	1	56	1	1	28	9422	0	0
0.551	1	2	56	2	2	28	9422	0	0
0.552	1	1	56	3	1	28	9422	0	0
0.553	1	2	56	4	2	28	9422	0	0
0.554	1	1	56	5	1	28	9422	0	0
0.555	1	2	56	6	2	28	9422	0	0
0.556	1	1	56	7	1	28	9422	0	0
0.557	1	2	56	8	2	28	9422	0	0
0.559	1	1	56	10	1	28	9422	0	0
0.56	1	2	57	1	2	28	9422	0	0
0.561	1	1	57	2	1	28	9422	0	0
0.562	1	2	57	3	2	28	9422	0	0
0.563	1	1	57	4	1	28	9422	0	0
0.564	1	2	57	5	2	28	9422	0	0
0.565	1	1	57	6	1	28	9422	0	0
0.566	1	2	57	7	2	28	9422	0	0
0.567	1	1	57	8	1	28	9422	0	0
0.568	1	2	57	9	2	28	9422	0	0
0.57	1	1	58	1	1	28	9422	0	0
0.571	1	2	58	2	2	28	9422	0	0
0.572	1	1	58	3	1	28	9422	0	0
0.573	1	2	58	4	2	28	9422	0	0
